Problem,Metric,PVI_mean,PVI_std,PVI_formatted,WGF_GMM_mean,WGF_GMM_std,WGF_GMM_formatted
banana,power,0.050999999046325684,0.016401218250393867,0.0510 ± 0.0164,0.060999996960163116,0.01757839508354664,0.0610 ± 0.0176
banana,sliced_w,0.1651029596724737,0.011890841141426555,0.1651 ± 0.0119,0.16244076127252657,0.012567961642263505,0.1624 ± 0.0126
multimodal,power,0.06399999558925629,0.02244994416832924,0.0640 ± 0.0224,0.057999998331069946,0.026381811127066612,0.0580 ± 0.0264
multimodal,sliced_w,0.04946461127801358,0.005177454802100226,0.0495 ± 0.0052,0.05081565148690809,0.006129230629623782,0.0508 ± 0.0061
xshape,power,0.04399999976158142,0.010198039002716541,0.0440 ± 0.0102,0.053999997675418854,0.017435595393180847,0.0540 ± 0.0174
xshape,sliced_w,0.06091212467311422,0.003517250797568501,0.0609 ± 0.0035,0.06185017821622522,0.005402389000291914,0.0619 ± 0.0054
